"State","StateCode","GovParty"
"Alabama","AL","R"
"Alaska","AK","R"
"Arizona","AZ","R"
"Arkansas","AR","R"
"California","CA","D"
"Colorado","CO","D"
"Connecticut","CT","D"
"Delaware","DE","D"
"Florida","FL","R"
"Georgia","GA","R"
"Hawaii","HI","D"
"Idaho","ID","R"
"Illinois","IL","D"
"Indiana","IN","R"
"Iowa","IA","R"
"Kansas","KS","D"
"Kentucky","KY","D"
"Louisiana","LA","D"
"Maine","ME","D"
"Maryland","MD","R"
"Massachusetts","MA","R"
"Michigan","MI","D"
"Minnesota","MN","D"
"Mississippi","MS","R"
"Missouri","MO","R"
"Montana","MT","D"
"Nebraska","NE","R"
"Nevada","NV","D"
"New Hampshire","NH","R"
"New Jersey","NJ","D"
"New Mexico","NM","D"
"New York","NY","D"
"North Carolina","NC","D"
"North Dakota","ND","R"
"Ohio","OH","R"
"Oklahoma","OK","R"
"Oregon","OR","D"
"Pennsylvania","PA","D"
"Rhode Island","RI","D"
"South Carolina","SC","R"
"South Dakota","SD","R"
"Tennessee","TN","R"
"Texas","TX","R"
"Utah","UT","R"
"Vermont","VT","R"
"Virginia","VA","D"
"Washington","WA","D"
"West Virginia","WV","R"
"Wisconsin","WI","D"
"Wyoming","WY","R"
